Sample ID	sample	raw_reads	OTZ number	Type	platform	deployment	deployn	depth	duration	goal	rep	diel	uniqueID	uniqueID2	depth_group	depth_group2	temp	oxy	sal	fluor
Annette081-AR043-C007-20-OTZ-920	AR43_C002_N19	196817	OTZ-920	sample	ctd	C002	2	100	NA	3	3	day	32	2_100	0-200	0-200	13.8736	230.816	35.5817	0.3383
Annette082-AR043-C001-N11-OTZ-921	AR43_C002_N20	99801	OTZ-921	sample	ctd	C002	2	100	NA	3	4	day	33	2_100	0-200	0-200	13.8659	230.526	35.5807	0.3223
Annette075-AR043-C002-N24-OTZ-914	AR43_C002_N13	149746	OTZ-914	sample	ctd	C002	2	300	NA	3	1	day	34	2_300	300-500	200-1000	9.2568	138.947	35.2194	0.0192
Annette076-AR043-C007-11-OTZ-915	AR43_C002_N14	140078	OTZ-915	sample	ctd	C002	2	300	NA	3	2	day	35	2_300	300-500	200-1000	9.2573	139.03	35.2195	0.0306
Annette077-AR043-C007-18-OTZ-916	AR43_C002_N15	117800	OTZ-916	sample	ctd	C002	2	300	NA	3	3	day	36	2_300	300-500	200-1000	9.2572	138.923	35.2198	0.0264
Annette078-AR043-C002-N15-OTZ-917	AR43_C002_N16	159010	OTZ-917	sample	ctd	C002	2	300	NA	3	4	day	37	2_300	300-500	200-1000	9.2582	138.817	35.2197	0.04
Annette071-AR043-C007-12-OTZ-910	AR43_C002_N9	144010	OTZ-910	sample	ctd	C002	2	500	NA	3	1	day	38	2_500	300-500	200-1000	6.4739	194.917	35.0927	0.0351
Annette072-AR043-C001-N15-OTZ-911	AR43_C002_N10	140060	OTZ-911	sample	ctd	C002	2	500	NA	3	2	day	39	2_500	300-500	200-1000	6.4736	194.911	35.0928	0.0454
Annette073-AR043-C007-14-OTZ-912	AR43_C002_N11	113214	OTZ-912	sample	ctd	C002	2	500	NA	3	3	day	40	2_500	300-500	200-1000	6.4675	194.839	35.0925	0.0247
Annette074-AR043-C001-N2-OTZ-913	AR43_C002_N12	94736	OTZ-913	sample	ctd	C002	2	500	NA	3	4	day	41	2_500	300-500	200-1000	6.4659	195.07	35.0921	0.0506
Annette067-AR043-C002-N19-OTZ-906	AR43_C002_N5	141128	OTZ-906	sample	ctd	C002	2	800	NA	3	1	day	42	2_800	800-1000	200-1000	4.7249	241.712	34.9904	0.0367
Annette068-AR043-C002-N20-OTZ-907	AR43_C002_N6	119520	OTZ-907	sample	ctd	C002	2	800	NA	3	2	day	43	2_800	800-1000	200-1000	4.7254	241.679	34.9904	0.027
Annette069-AR043-C007-19-OTZ-908	AR43_C002_N7	119218	OTZ-908	sample	ctd	C002	2	800	NA	3	3	day	44	2_800	800-1000	200-1000	4.7264	242.133	34.9906	0.0449
Annette070-AR043-C007-2-OTZ-909	AR43_C002_N8	139699	OTZ-909	sample	ctd	C002	2	800	NA	3	4	day	45	2_800	800-1000	200-1000	4.7273	241.888	34.9904	0.0324
Annette063-AR043-C002-N10-OTZ-902	AR43_C002_N1	142839	OTZ-902	sample	ctd	C002	2	1000	NA	3	1	day	46	2_1000	800-1000	200-1000	4.3851	251.819	34.9718	0.0368
Annette064-AR043-C007-15-OTZ-903	AR43_C002_N2	143029	OTZ-903	sample	ctd	C002	2	1000	NA	3	2	day	47	2_1000	800-1000	200-1000	4.3845	252.091	34.9715	0.0276
Annette065-AR043-C007-22-OTZ-904	AR43_C002_N3	147820	OTZ-904	sample	ctd	C002	2	1000	NA	3	3	day	48	2_1000	800-1000	200-1000	4.385	251.653	34.972	0.0345
Annette066-AR043-C002-N1-OTZ-905	AR43_C002_N4	149791	OTZ-905	sample	ctd	C002	2	1000	NA	3	4	day	49	2_1000	800-1000	200-1000	4.3839	251.735	34.9716	0.0327
Annette087-AR043-C007-10-OTZ-926	AR43_C002_Control	1515	OTZ-926	control	ctd	C002	2	NA	NA	3	NA	day	50	2_NA						
