Sample ID	OTZ number	sample	reads	Type	Cruise	platform	cast	deployment	depth	experiment	diel	unique_id	rep	depth_group2	depth_group	temp	oxy	sal	fluor
OTZ-12S-1754	OTZ-1754	AR43_C002_N16	59896	sample	AR43	ctd	2	C002	300	ctd	day	2_300	3	200-1000	300-500	9.2582	138.817	35.2197	0.04
OTZ-12S-1770	OTZ-1770	AR43_C002_N13	35513	sample	AR43	ctd	2	C002	300	ctd	day	2_300	4	200-1000	300-500	9.2568	138.947	35.2194	0.0192
OTZ-12S-1703	OTZ-1703	AR43_C002_N9	165341	sample	AR43	ctd	2	C002	500	ctd	day	2_500	1	200-1000	300-500	6.4739	194.917	35.0927	0.0351
OTZ-12S-1719	OTZ-1719	AR43_C002_N10	67480	sample	AR43	ctd	2	C002	500	ctd	day	2_500	2	200-1000	300-500	6.4736	194.911	35.0928	0.0454
OTZ-12S-1737	OTZ-1737	AR43_C002_N11	101753	sample	AR43	ctd	2	C002	500	ctd	day	2_500	3	200-1000	300-500	6.4675	194.839	35.0925	0.0247
OTZ-12S-1755	OTZ-1755	AR43_C002_N12	209772	sample	AR43	ctd	2	C002	500	ctd	day	2_500	4	200-1000	300-500	6.4659	195.07	35.0921	0.0506
OTZ-12S-1720	OTZ-1720	AR43_C002_N6	193841	sample	AR43	ctd	2	C002	800	ctd	day	2_800	1	200-1000	800-1000	4.7254	241.679	34.9904	0.027
OTZ-12S-1738	OTZ-1738	AR43_C002_N7	91190	sample	AR43	ctd	2	C002	800	ctd	day	2_800	2	200-1000	800-1000	4.7264	242.133	34.9906	0.0449
OTZ-12S-1756	OTZ-1756	AR43_C002_N8	110858	sample	AR43	ctd	2	C002	800	ctd	day	2_800	3	200-1000	800-1000	4.7273	241.888	34.9904	0.0324
OTZ-12S-1771	OTZ-1771	AR43_C002_N5	114537	sample	AR43	ctd	2	C002	800	ctd	day	2_800	4	200-1000	800-1000	4.7249	241.712	34.9904	0.0367
OTZ-12S-1704	OTZ-1704	AR43_C002_N1	103710	sample	AR43	ctd	2	C002	1000	ctd	day	2_1000	1	200-1000	800-1000	4.3851	251.819	34.9718	0.0368
OTZ-12S-1721	OTZ-1721	AR43_C002_N2	245225	sample	AR43	ctd	2	C002	1000	ctd	day	2_1000	2	200-1000	800-1000	4.3845	252.091	34.9715	0.0276
OTZ-12S-1739	OTZ-1739	AR43_C002_N3	100123	sample	AR43	ctd	2	C002	1000	ctd	day	2_1000	3	200-1000	800-1000	4.385	251.653	34.972	0.0345
OTZ-12S-1757	OTZ-1757	AR43_C002_N4	90450	sample	AR43	ctd	2	C002	1000	ctd	day	2_1000	4	200-1000	800-1000	4.3839	251.735	34.9716	0.0327
OTZ-12S-1765	OTZ-1765	AR43_C002_Control	122185	control	AR43	ctd	2	C002	NA	ctd	day								
OTZ-12S-1705	OTZ-1705	AR43_C007_N21	92747	sample	AR43	ctd	7	C007	10	ctd	night	7_10	1	0-200	0-200	13.3044	253.734	35.2938	1.2515
OTZ-12S-1722	OTZ-1722	AR43_C007_N22	193437	sample	AR43	ctd	7	C007	10	ctd	night	7_10	2	0-200	0-200	13.3054	253.679	35.2934	1.5821
OTZ-12S-1740	OTZ-1740	AR43_C007_N23	120797	sample	AR43	ctd	7	C007	10	ctd	night	7_10	3	0-200	0-200	13.3185	253.523	35.2972	1.2255
OTZ-12S-1758	OTZ-1758	AR43_C007_N24	80410	sample	AR43	ctd	7	C007	10	ctd	night	7_10	4	0-200	0-200	13.3246	253.309	35.2987	1.6855
OTZ-12S-1706	OTZ-1706	AR43_C007_N17	58868	sample	AR43	ctd	7	C007	100	ctd	night	7_100	1	0-200	0-200	13.7887	231.968	35.5483	0.1921
OTZ-12S-1723	OTZ-1723	AR43_C007_N18	53	sample	AR43	ctd	7	C007	100	ctd	night	7_100	2	0-200	0-200	13.7891	232.079	35.5482	0.2166
OTZ-12S-1741	OTZ-1741	AR43_C007_N19	115322	sample	AR43	ctd	7	C007	100	ctd	night	7_100	3	0-200	0-200	13.7877	231.844	35.5479	0.2004
OTZ-12S-1759	OTZ-1759	AR43_C007_N20	118480	sample	AR43	ctd	7	C007	100	ctd	night	7_100	4	0-200	0-200	13.7873	231.96	35.5481	0.2112
OTZ-12S-1707	OTZ-1707	AR43_C007_N13	165606	sample	AR43	ctd	7	C007	300	ctd	night	7_300	1	200-1000	300-500	9.2278	135.894	35.2036	0.0535
OTZ-12S-1724	OTZ-1724	AR43_C007_N14	28	sample	AR43	ctd	7	C007	300	ctd	night	7_300	2	200-1000	300-500	9.2283	135.847	35.2038	0.03
OTZ-12S-1742	OTZ-1742	AR43_C007_N15	75561	sample	AR43	ctd	7	C007	300	ctd	night	7_300	3	200-1000	300-500	9.2277	135.848	35.2039	0.0467
OTZ-12S-1760	OTZ-1760	AR43_C007_N16	182111	sample	AR43	ctd	7	C007	300	ctd	night	7_300	4	200-1000	300-500	9.2257	135.966	35.2039	0.0401
OTZ-12S-1708	OTZ-1708	AR43_C007_N9	226578	sample	AR43	ctd	7	C007	500	ctd	night	7_500	1	200-1000	300-500	6.4195	196.376	35.0956	0.0395
OTZ-12S-1725	OTZ-1725	AR43_C007_N10	205513	sample	AR43	ctd	7	C007	500	ctd	night	7_500	2	200-1000	300-500	6.457	196.089	35.0965	0.047
OTZ-12S-1743	OTZ-1743	AR43_C007_N11	214344	sample	AR43	ctd	7	C007	500	ctd	night	7_500	3	200-1000	300-500	6.4544	195.923	35.0967	0.0422
OTZ-12S-1761	OTZ-1761	AR43_C007_N12	144372	sample	AR43	ctd	7	C007	500	ctd	night	7_500	4	200-1000	300-500	6.458	195.958	35.0972	0.038
OTZ-12S-1709	OTZ-1709	AR43_C007_N5	62985	sample	AR43	ctd	7	C007	800	ctd	night	7_800	1	200-1000	800-1000	4.6333	245.002	34.9845	0.0365
OTZ-12S-1726	OTZ-1726	AR43_C007_N6	169242	sample	AR43	ctd	7	C007	800	ctd	night	7_800	2	200-1000	800-1000	4.6332	244.858	34.9845	0.0332
OTZ-12S-1744	OTZ-1744	AR43_C007_N7	273827	sample	AR43	ctd	7	C007	800	ctd	night	7_800	3	200-1000	800-1000	4.6323	244.623	34.9845	0.0443
OTZ-12S-1762	OTZ-1762	AR43_C007_N8	27930	sample	AR43	ctd	7	C007	800	ctd	night	7_800	4	200-1000	800-1000	4.6328	244.9	34.9844	0.03
