,0
6998a099f87970cd197c3462eee263b3,810379.0
7ba38f574ca87b3617faf6997f065f6a,411066.0
1a8c8a1f715c8e84d51bcd6c08f20835,397166.0
8e94aa53e61d5b52c47e0c769ae06197,234971.0
490dada272c54b8e6e57af29c30337ef,192932.0
741088598e001d7ed41909f1414cd2b0,184654.0
a324302dd50eaa757a18424b4ee0d0ff,147775.0
24bc53e60351ff8f5cc6447f74d78fdf,145373.0
6e3a0cde24c04bb5318f0827c2e9d85a,135287.0
51627b4ac2bd9b965b19ece47cf65281,126592.0
67589389e1fdd42f0acbe10c97a03e61,123396.0
43c194e0801f3987ba2ede7fedf680ff,100543.0
e7775126d592f3b9fed0760993e40d0a,85949.0
69a73d1a2f355bb8ed99aad03970612e,74059.0
dad10756b48e534c0621faa34e86fd80,72968.0
5ffa38f55818486c471279c2a91c0609,70707.0
57ebc7b7ee7f5717a0c36a45654242b7,67430.0
517c16300e566886759a218dfdc79c95,67396.0
45d599c33a374c03264b1eb85f540fce,61732.0
3d365ca09c1416885c1ddbcfaff944d6,60108.0
589b305ca14555b5f9fe1c4e92a1e845,56005.0
b503a591759a010221e29a89d1cdd878,55916.0
7f0522c8800bd5e0d7c6166460777f62,55444.0
596c78df7ca5d35633477f5d4a80837b,53159.0
8204652eb70e98b82c977220da666d67,52945.0
61426f0c6d67722868ed33f2f39372d6,52508.0
6d6ae7acd05b267c6cc3fd737e19388d,51937.0
59dea5126d5203566c8685a56d849745,51119.0
e8402a72964fd310f3d5c2eb959a323b,47402.0
3b839477a29ee930ce0deaa8d7143e81,44215.0
ced7df774f2df6bd833693914e4f6a03,42949.0
b3048e898ccb9934fd60bf89bf70cd0a,42007.0
d1234ac906db0c6aee3f3175f356083d,41930.0
eb43fc67f81c3b43743e234f18d6a076,40536.0
70b15e7d989f943cae8d8005743fee83,38719.0
a1fc2ecfae800100b863175a4312a8ed,37486.0
b76b2547576642d59a63f972ef0699e5,34756.0
5f90cce925528031ecf7e9674f867a6b,33973.0
cf87814776398f3c3ad71c6b0e7fd086,32910.0
b8a4549bc60e49a3c86eaad4beb6738f,32312.0
bd481f15607eaf1a37893326448e9c15,30413.0
9a80e9de5f3e9cf64b8db4f0b57fec91,29919.0
c884080a0f1d59c262228ea2cc07d018,28771.0
70ab1e96e9b4c0a2bc2dad515165308f,28191.0
95372bfc60cbd3e24b8b1cc6177e6094,28162.0
2407f2d992db7ab1b4b371ffad9f57d9,27147.0
1a29af58eac67385c48298b336f1cb89,26124.0
5ace7802e984f1e4cc8978905f5f08db,25534.0
391b012c53535560cfdef34ca2de008a,23917.0
5558c5f4832da2ee057a784037ba19d0,23719.0
ddd1f98f061fdc809e2c99309bf1395f,23422.0
915d312a9928c388f57d8dbf0ba59105,22929.0
08dbcbc42067f17c2cb53fe237310b5e,22867.0
4c355126db7b60a9e29eaecf9a521a97,22063.0
2f4f8d6aef04b2e63de3278e7faf0c73,21258.0
aaaadb5054ecd546c392d4a444378398,20243.0
a96b5655df0d99f442cd15d0d4a12cbc,20103.0
049d4f8785b0b54aaf378896e837565e,19452.0
4197757672faf4af6cfc5c0693aea493,19124.0
2a1598696d09f7eec3604816a12d1a2e,18479.0
ad4760c78194257c27fb953ea6f563cb,18101.0
b0f076a63f2fc488695e7190862e2191,17591.0
cae1caea0bf7c0dadd4b3c9a9495b1ff,17379.0
6f71849456051099d0981b5ca978ace5,17153.0
a099d5664acbd5ac8f8032f2efb02371,16741.0
68fa19ec9387be335aa0dd94306b0e75,16629.0
419a7afc940244f264c9ab0b2300364d,16444.0
bfd40c91df5b0599c33db2006dada96c,16204.0
26921236d286f11a559843a3060f1f72,16202.0
a96f5ca9318f73c6adfc263bc7ba614c,16110.0
0eb25f73a43b96ca64c9390fcc69def8,14944.0
05fe065b48c353de4b5db9977402b158,14832.0
555b3e9b4141cd57fa1c2cd1feeab8a8,14341.0
ceaf0a12daf15446d256da34c4da3767,14334.0
9fcf1b12506924e0295e569a0263b7b0,14237.0
39f8401e6b841b9cfd2329f771e35fce,13984.0
3702edc9ad64bf723f23f7c6aa28eee5,13957.0
abacaccfbb3e2f05b8fa808a98d851b5,13950.0
140ea2f6e5ffd958aa0f7224eeab3caa,13422.0
b8bc458bd87ec85ddfe862ebaf182a1f,13387.0
d81797dbcfec1ffae507bc8138c61b8a,12915.0
205b6fbe5cd204d0d099e64408985a54,12911.0
a24b657905908713e7398cb9cc616a89,12891.0
34bd68a34107094e07a5d64fbbb88285,12766.0
9cde5ed762ec21da49a82ec5f8a9d9ff,12695.0
73cb785d27f271ad010a647c847a1e19,12268.0
a02c9335d5335f80f6462921c39a3c91,12005.0
d59f215336edd18727d7f55b0c6e269c,11863.0
a3f27d9af47d994a44f3e22c0b75820d,11818.0
e9642a86f647540df9beb12926172c9c,11629.0
e0e4967a8bdfe3a23848bfae21914907,11281.0
7ce32a25b67ac739a5e319db9f47f843,11274.0
319b75f63de3d838b863ac9c6f93a660,10865.0
f897900b15cc8de9baa8fed58c766be6,10730.0
7848c2b18202f4c17333ec381d6b9b35,10675.0
cea3bcaa7a002447f472c69204cf481f,10606.0
78b24dba66bde1d6ed9c9c98acc23c5a,10392.0
aa8c049f811c097b2af1eb785ec671c5,10376.0
786a17cd90e6b160b1bdb756f1e05815,10159.0
5ec1cbe645db49f16baf31e3e00213ab,10115.0
dc3f80936b9dbe5a734a6e598724804d,10095.0
db5a95d7437b1b586f0e017cd82ae6be,9984.0
28f0b0e2141bb304a970a61a87fd6202,9982.0
7458313475194d1168fa3b1151bf25ce,9883.0
e0a16f98b564fab60559ee961dd08dac,9869.0
33120984a5885210a9b6bf0ae318f539,9834.0
cafca3f2294b7d9744e23ceb0ed5be5f,9831.0
0280ef1723ccb52a9f4a76c4735c5419,9729.0
64a75a2fa5df7dc4ac2c29201470f6d1,9693.0
9ca830bcb2a01c419e1ee3e94dcb4b6c,9500.0
ecf0783b929a953e1dbb74b38fbd1972,9489.0
6c5cc8c50b4489fb7a2fdc07ffedd518,9298.0
38ed6e5ef716096abc8cfa935a94a522,9202.0
c62ebb4b88f990b23452c5fcf49fd623,9188.0
6e01b25ceb114c9ac5a80b2fdf45b956,9134.0
1e52cc251818265e3f35def8298b6e77,9118.0
940be96ae85fd5ec56df1dfdffc196e1,8951.0
01b4e65c6b58d8e31c82fe859f9a3b78,8789.0
b3079eb2fe95d8e3af7b5e3ac2cc432a,8721.0
2069f968511993b08d807cbb0aa837ec,8540.0
540dab5ee80b1e28a4eaf9c777f1a1e9,8489.0
7fc899a892fc0aca9c7efd37cdd633d9,8467.0
0129bd46d727c9191a919db66027e216,8421.0
5b4a0241ab617545778d7c7cd3b9849a,8337.0
8747e55f2876394fe809c87c41c7029a,8273.0
a126688549151c6cd4d94e690901040c,8201.0
fce3c59d3c2258f9063f7db86dfd73a4,8007.0
920adde6fcd8905ba4fd70d3847d52b2,7926.0
05ba5319c7405df58d5a9ddc2b13961b,7918.0
b13c3530ba937cd9bcc4d8f90a8e9d5b,7788.0
c423744cf9fa41387e21ed1bc16fa9e4,7768.0
eafe056313913f145317e86db59eeaf1,7581.0
cf3a33d9b28ff36cfd97689b2243fe33,7548.0
77346ce39ada8fd815aa222cb5271f92,7438.0
323021f8270a25f5a43593c45f26b531,7351.0
1cdcd1e6362df9d4474937bbfe2475fe,7279.0
7dd385ce60a86ccc9afecd73d21fe54c,7277.0
f8d28a949b7f0508e92f4c470c9032d7,7165.0
1a73c001c8b6dd12459736e5f1315b54,7133.0
f70b56b27cfedddc8fc4a944c94adf2e,7129.0
d928a16f592d352615dd9c41a03e391e,6984.0
c3c443a488fd6ceecb3a03d13c436197,6962.0
de5a33e1dc863861f98e50befd10888a,6954.0
e3a8604ee5a3781cf27363779f64639f,6895.0
1270ce33e30bca019785139d7a651218,6884.0
bf9d70bc6d65bd1874fce3aa7894d077,6809.0
566771d2f88cc620aa7eca5f3ebe56d8,6806.0
6fba1e3e34d53767e7b710932921bdbd,6734.0
8450b0f143df70ac6120edabbdcd8b5b,6701.0
81e5602c19d084880e759ebe956b20f3,6692.0
16debf2cbdc03454808b0e6db1a6b99c,6678.0
857d5714632fd0a157574474d1220ef3,6629.0
d08c4c6ba8f04a89300a69743723f140,6629.0
c60539ce3ec40714f677e03001c50899,6615.0
1b968120e70e2e55d002230c2b22d1c7,6607.0
9e6a2255ebd0c3be1ed531b807a6788f,6558.0
c38fa1d91765da2dcb918b509321771e,6546.0
24635fb8115ac3c4172359781adb0a18,6527.0
debb11757c3a1543b3c44cd3e570560d,6434.0
e75d719959930e387dba7353b0a5fc31,6397.0
dbc4a738224e224d4313b7e0b2575c12,6396.0
b0eb8292b65915dd58317c3e84e8df6a,6360.0
01d454571201946481b2e43ba9cf04a0,6353.0
42b1ea9bc22b42179b3d1867631c9d16,6333.0
c91e12ad94aa172288a1b20b18a90622,6333.0
66f2aa9c2fca622a5567cdabb73e9d6f,6266.0
af6c13e1b05b93296e7286cf43ecbb85,6187.0
43f11fbb1ab6090fa02cc4d478db56af,6038.0
b5188e724b543398979d89297918d278,6022.0
0c7a1b36a55ed09019e0349c51eec7f3,6006.0
f8dc0598dfb6e3279407f37a14812970,5948.0
09f3457bb61d7232e0811d9d1f537220,5896.0
1e1b6d7c188e4f67d764bef88b00a4b4,5889.0
ee4aa1520d499d1f8442c48295d75a1c,5856.0
f2f3143b0dc6e258cc9909680219e223,5831.0
88d9320d234571d547a15143fddd8759,5777.0
