"","feature","freq","prev","p.freq","p.prev","p","contaminant","frequency","Taxon","Confidence"
"24","d374d26ab8092e0f0a262590b456431c",0.000132013316020713,20,NA,0.391558681969641,0.391558681969641,TRUE,117,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Leptocylindraceae;Leptocylindrus;Leptocylindrus_minimus;","0.9999999982130988"
"25","ac71b9d73517e5bd3962444b3f3b16bd",9.4367362166443e-05,4,NA,0.0799703813402443,0.0799703813402443,TRUE,32,"Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales","0.9958195350514983"
"26","5865c22395cd3b63f468374fde41945c",0.000221774107205134,18,NA,0.353957793409848,0.353957793409848,TRUE,879,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;","0.9971164344852504"
"27","8fb7b01c0d17f1c905aaaf3f22109e4e",0.000225074944457766,5,NA,0.0999259533506109,0.0999259533506109,TRUE,59,"Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus","0.9999999115643154"
"28","e61baa3e7315f2d311a4e5e2c338a5f0",7.91387635522912e-05,6,NA,0.119851906701222,0.119851906701222,TRUE,50,"Eukaryota;TSAR;Alveolata;Dinoflagellata","0.9044628617339904"
"29","86fa2e0fc5cbb3a804cf5a8b56443a56",0.000141939286580881,12,NA,0.238370973713439,0.238370973713439,TRUE,179,"Eukaryota;TSAR;Alveolata;Dinoflagellata","0.9754101225858737"
"30","4e08dd89864c451cc8d5a750c27b8506",0.000175672068832862,2,NA,0.0399999999999999,0.0399999999999999,TRUE,49,"Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;","0.9999999999998579"
"31","15adf6703f38a14150cd44edc44805ce",0.000258036130511695,20,NA,0.391558681969641,0.391558681969641,TRUE,600,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;","0.9999898022665261"
"32","b4e8560f0fdfdd48af6da12e0cc475b1",0.000141200672318595,17,NA,0.33496482784154,0.33496482784154,TRUE,392,"Eukaryota;Excavata;Discoba;Euglenozoa;Kinetoplastea","0.9990447304649271"
"33","490dada272c54b8e6e57af29c30337ef",0.0282093156448212,66,NA,0.338837467604591,0.338837467604591,TRUE,192932,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-7;Dino-Group-II-Clade-7_X;Dino-Group-II-Clade-7_X_sp.;","0.9497471430043929"
"34","3c34788071c92214e75a6a0f3ef84f46",0.000297468431622636,16,NA,0.31585338763421,0.31585338763421,TRUE,539,"Eukaryota","0.9949116599977832"
"35","427c168ded75474f00872209eda4def6",6.41223561018117e-05,7,NA,0.139740836727138,0.139740836727138,TRUE,48,"Eukaryota;TSAR;Stramenopiles","0.9784910609914668"
"36","2eb4e7b06997f709845cee5e70405a00",8.19935426400947e-05,17,NA,0.33496482784154,0.33496482784154,TRUE,158,"Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea_X;Novel-clade-2;Novel-clade-2_X;Novel-clade-2_X_sp.;","0.9999999894939579"
"37","70ecc9d655184eecdf9cf24495c47085",0.000259140371819736,12,NA,0.238370973713439,0.238370973713439,TRUE,353,"Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;","0.9999999055665586"
"38","50c98c045e38d899a9dc5b3c18fdcc3b",8.63889874781981e-05,2,NA,0.0399999999999999,0.0399999999999999,TRUE,9,"Eukaryota","0.9997387757609979"
"39","d12457ad0bd8bdcf0d32beee9a306ee0",0.000109652858357417,5,NA,0.0999259533506109,0.0999259533506109,TRUE,20,"Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Frontoniidae_2;Frontoniidae_2_X;Frontoniidae_2_X_sp.;","0.9999980043329676"
"40","ed5be4ce731da3311b403560e07a7402",0.000116762707541398,3,NA,0.0599925953350611,0.0599925953350611,TRUE,22,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia","0.9893285013226926"
"41","7ba38f574ca87b3617faf6997f065f6a",0.0599382560757426,67,NA,0.354720473898556,0.354720473898556,TRUE,411066,"Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_C;Acantharea_C3","0.9990777773881012"
"42","35913e55ca98beff2f76793513b57b1c",0.000812351636171406,23,NA,0.446886338393188,0.446886338393188,TRUE,3842,"Eukaryota;TSAR;Alveolata","0.9588566163335368"
"43","eb26dcff289b3cafa558e9c421e24c5d",0.000148585037374288,7,NA,0.139740836727138,0.139740836727138,TRUE,45,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-2;Dino-Group-II-Clade-2_X;Dino-Group-II-Clade-2_X_sp.;","0.9999999981361186"
"44","23407b7a0f2006b21941819c4523ca3f",0.000383735481881683,13,NA,0.257882265827471,0.257882265827471,TRUE,1354,"Eukaryota;TSAR;Alveolata;Alveolata_X;Ellobiopsidae;Ellobiopsidae_X;Ellobiopsidae_XX;Thalassomyces;Thalassomyces_fagei;","0.9466939364545268"
